nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude
108418 ,2.198 ,3.370 ,1.600 ,0.565 
108419 ,-0.568 ,3.370 ,1.600 ,0.535 
108420 ,-2.555 ,3.370 ,1.600 ,0.512 
108421 ,-4.678 ,3.371 ,1.600 ,0.488 
108422 ,-1.898 ,3.371 ,1.600 ,0.523 
108423 ,-0.425 ,3.371 ,1.600 ,0.539 
108424 ,2.953 ,3.372 ,1.600 ,0.559 
108425 ,-3.601 ,3.372 ,1.600 ,0.495 
108426 ,4.124 ,3.372 ,1.600 ,0.576 
108427 ,-2.698 ,3.375 ,1.600 ,0.507 
108428 ,-4.424 ,3.375 ,1.600 ,0.494 
108429 ,-3.203 ,3.376 ,1.600 ,0.496 
108430 ,-3.691 ,3.376 ,1.600 ,0.495 
108431 ,-0.582 ,3.376 ,1.600 ,0.533 
108432 ,-0.154 ,3.378 ,1.600 ,0.546 
108433 ,0.303 ,3.378 ,1.600 ,0.540 
108434 ,-4.007 ,3.379 ,1.600 ,0.501 
108435 ,0.322 ,3.379 ,1.600 ,0.539 
108436 ,3.995 ,3.380 ,1.600 ,0.581 
108437 ,-3.991 ,3.380 ,1.600 ,0.500 
108438 ,3.409 ,3.380 ,1.600 ,0.571 
108439 ,-0.177 ,3.380 ,1.600 ,0.545 
108440 ,1.820 ,3.380 ,1.600 ,0.568 
108441 ,-3.460 ,3.381 ,1.600 ,0.491 
108442 ,2.413 ,3.381 ,1.600 ,0.557 
108443 ,2.100 ,3.382 ,1.600 ,0.568 
108444 ,-0.017 ,3.382 ,1.600 ,0.546 
108445 ,-2.637 ,3.383 ,1.600 ,0.508 
108446 ,2.733 ,3.383 ,1.600 ,0.556 
108447 ,-2.343 ,3.383 ,1.600 ,0.517 
108448 ,4.074 ,3.383 ,1.600 ,0.578 
108449 ,-3.826 ,3.384 ,1.600 ,0.497 
108450 ,0.432 ,3.384 ,1.600 ,0.536 
108451 ,6.795 ,3.384 ,1.600 ,0.572 
108452 ,-0.570 ,3.384 ,1.600 ,0.532 
108453 ,3.790 ,3.385 ,1.600 ,0.581 
108454 ,-2.390 ,3.385 ,1.600 ,0.515 
108455 ,0.894 ,3.385 ,1.600 ,0.540 
108456 ,-1.702 ,3.386 ,1.600 ,0.515 
108457 ,3.427 ,3.386 ,1.600 ,0.571 
108458 ,-0.008 ,3.386 ,1.600 ,0.546 
108459 ,0.552 ,3.387 ,1.600 ,0.535 
108460 ,-2.580 ,3.387 ,1.600 ,0.509 
108461 ,-2.086 ,3.387 ,1.600 ,0.521 
108462 ,-4.206 ,3.387 ,1.600 ,0.497 
108463 ,-3.808 ,3.388 ,1.600 ,0.496 
108464 ,3.742 ,3.388 ,1.600 ,0.580 
108465 ,4.034 ,3.388 ,1.600 ,0.579 
108466 ,2.020 ,3.388 ,1.600 ,0.569 
108467 ,1.538 ,3.388 ,1.600 ,0.559 
108468 ,3.441 ,3.389 ,1.600 ,0.571 
108469 ,2.018 ,3.389 ,1.600 ,0.569 
108470 ,-0.025 ,3.389 ,1.600 ,0.545 
108471 ,0.285 ,3.389 ,1.600 ,0.538 
108472 ,-0.017 ,3.389 ,1.600 ,0.545 
108473 ,2.021 ,3.389 ,1.600 ,0.569 
108474 ,4.668 ,3.391 ,1.600 ,0.554 
108475 ,-2.565 ,3.391 ,1.600 ,0.509 
108476 ,-2.090 ,3.392 ,1.600 ,0.521 
108477 ,0.313 ,3.392 ,1.600 ,0.537 
108478 ,-2.082 ,3.392 ,1.600 ,0.521 
108479 ,-3.859 ,3.392 ,1.600 ,0.496 
108480 ,-3.906 ,3.393 ,1.600 ,0.497 
108481 ,-0.534 ,3.393 ,1.600 ,0.532 
108482 ,1.953 ,3.393 ,1.600 ,0.569 
108483 ,4.547 ,3.393 ,1.600 ,0.555 
108484 ,4.204 ,3.393 ,1.600 ,0.570 
108485 ,4.204 ,3.393 ,1.600 ,0.570 
108486 ,0.736 ,3.394 ,1.600 ,0.536 
108487 ,-0.012 ,3.395 ,1.600 ,0.545 
108488 ,-3.641 ,3.395 ,1.600 ,0.491 
108489 ,-2.717 ,3.397 ,1.600 ,0.503 
108490 ,-2.086 ,3.397 ,1.600 ,0.520 
108491 ,-4.467 ,3.397 ,1.600 ,0.489 
108492 ,-0.379 ,3.397 ,1.600 ,0.536 
108493 ,0.114 ,3.398 ,1.600 ,0.542 
108494 ,2.356 ,3.398 ,1.600 ,0.556 
108495 ,-2.091 ,3.398 ,1.600 ,0.520 
108496 ,1.872 ,3.399 ,1.600 ,0.567 
108497 ,-4.582 ,3.399 ,1.600 ,0.486 
108498 ,3.844 ,3.400 ,1.600 ,0.580 
108499 ,2.578 ,3.400 ,1.600 ,0.553 
108500 ,-0.709 ,3.400 ,1.600 ,0.524 
108501 ,1.896 ,3.401 ,1.600 ,0.567 
108502 ,-2.232 ,3.401 ,1.600 ,0.517 
108503 ,-1.909 ,3.402 ,1.600 ,0.518 
108504 ,-3.179 ,3.402 ,1.600 ,0.492 
108505 ,-4.005 ,3.402 ,1.600 ,0.496 
108506 ,-0.096 ,3.402 ,1.600 ,0.543 
108507 ,-1.456 ,3.403 ,1.600 ,0.510 
108508 ,2.462 ,3.403 ,1.600 ,0.553 
108509 ,-1.865 ,3.405 ,1.600 ,0.516 
108510 ,4.240 ,3.405 ,1.600 ,0.567 
108511 ,-3.930 ,3.407 ,1.600 ,0.496 
108512 ,-2.121 ,3.407 ,1.600 ,0.518 
108513 ,4.901 ,3.407 ,1.600 ,0.552 
108514 ,-2.683 ,3.407 ,1.600 ,0.502 
108515 ,1.085 ,3.408 ,1.600 ,0.541 
108516 ,5.704 ,3.408 ,1.600 ,0.560 
108517 ,0.296 ,3.408 ,1.600 ,0.534 
108518 ,4.146 ,3.409 ,1.600 ,0.572 
108519 ,-2.255 ,3.409 ,1.600 ,0.515 
108520 ,-4.048 ,3.410 ,1.600 ,0.496 
108521 ,0.145 ,3.411 ,1.600 ,0.539 
108522 ,1.968 ,3.411 ,1.600 ,0.567 
108523 ,-4.434 ,3.411 ,1.600 ,0.488 
108524 ,-4.398 ,3.412 ,1.600 ,0.488 
108525 ,3.955 ,3.413 ,1.600 ,0.579 
108526 ,2.594 ,3.414 ,1.600 ,0.551 
108527 ,0.196 ,3.416 ,1.600 ,0.536 
108528 ,4.221 ,3.416 ,1.600 ,0.567 
108529 ,2.565 ,3.416 ,1.600 ,0.551 
108530 ,4.874 ,3.416 ,1.600 ,0.551 
108531 ,-2.243 ,3.416 ,1.600 ,0.514 
108532 ,-0.464 ,3.416 ,1.600 ,0.530 
108533 ,-3.903 ,3.416 ,1.600 ,0.493 
108534 ,4.106 ,3.416 ,1.600 ,0.574 
108535 ,4.916 ,3.417 ,1.600 ,0.551 
108536 ,0.668 ,3.417 ,1.600 ,0.530 
