nodenumber,    x-coordinate,    y-coordinate,    z-coordinate,velocity-magnitude
118,-13.260 ,-223.524 ,1.600 ,1.554 
119,-213.361 ,-222.933 ,1.600 ,1.505 
120,-236.043 ,-222.563 ,1.600 ,1.495 
121,-72.420 ,-222.445 ,1.600 ,1.541 
122,24.094 ,-222.222 ,1.600 ,1.546 
123,35.352 ,-221.989 ,1.600 ,1.541 
124,-355.191 ,-221.755 ,1.600 ,1.485 
125,-435.937 ,-221.553 ,1.600 ,1.485 
126,213.038 ,-220.495 ,1.600 ,1.463 
127,-173.248 ,-220.491 ,1.600 ,1.514 
128,-408.932 ,-220.454 ,1.600 ,1.484 
129,-303.453 ,-220.119 ,1.600 ,1.486 
130,-485.000 ,-220.000 ,1.600 ,1.495 
131,-395.421 ,-219.530 ,1.600 ,1.476 
132,-120.890 ,-219.444 ,1.600 ,1.537 
133,-461.406 ,-219.443 ,1.600 ,1.481 
134,-313.101 ,-219.091 ,1.600 ,1.481 
135,-380.385 ,-219.062 ,1.600 ,1.478 
136,123.969 ,-218.316 ,1.600 ,1.500 
137,-366.667 ,-218.281 ,1.600 ,1.480 
138,-422.893 ,-217.697 ,1.600 ,1.482 
139,149.595 ,-217.488 ,1.600 ,1.481 
140,65.692 ,-216.874 ,1.600 ,1.538 
141,-338.114 ,-216.101 ,1.600 ,1.479 
142,-473.619 ,-215.836 ,1.600 ,1.476 
143,-64.464 ,-215.679 ,1.600 ,1.549 
144,-442.641 ,-215.276 ,1.600 ,1.479 
145,-347.335 ,-214.581 ,1.600 ,1.475 
146,-356.768 ,-213.832 ,1.600 ,1.472 
147,19.534 ,-213.566 ,1.600 ,1.569 
148,-30.417 ,-213.016 ,1.600 ,1.569 
149,-225.487 ,-212.752 ,1.600 ,1.482 
150,11.168 ,-212.347 ,1.600 ,1.574 
151,-129.836 ,-212.099 ,1.600 ,1.556 
152,-452.062 ,-211.889 ,1.600 ,1.471 
153,74.080 ,-211.034 ,1.600 ,1.549 
154,-433.349 ,-211.033 ,1.600 ,1.474 
155,-402.644 ,-210.526 ,1.600 ,1.467 
156,-485.000 ,-210.000 ,1.600 ,1.484 
157,-413.948 ,-209.977 ,1.600 ,1.475 
158,183.751 ,-209.969 ,1.600 ,1.474 
159,-390.775 ,-209.226 ,1.600 ,1.463 
160,94.331 ,-208.705 ,1.600 ,1.533 
161,-463.577 ,-208.386 ,1.600 ,1.469 
162,158.333 ,-208.333 ,1.600 ,1.477 
163,-181.250 ,-208.216 ,1.600 ,1.524 
164,-372.639 ,-207.860 ,1.600 ,1.464 
165,-274.510 ,-207.059 ,1.600 ,1.468 
166,-361.507 ,-206.859 ,1.600 ,1.462 
167,-340.913 ,-206.632 ,1.600 ,1.462 
168,-330.883 ,-206.601 ,1.600 ,1.465 
169,-381.791 ,-206.305 ,1.600 ,1.462 
170,-423.793 ,-206.257 ,1.600 ,1.464 
171,-350.890 ,-205.858 ,1.600 ,1.460 
172,-22.501 ,-203.737 ,1.600 ,1.573 
173,73.231 ,-203.704 ,1.600 ,1.569 
174,221.305 ,-202.460 ,1.600 ,1.471 
175,-408.666 ,-202.113 ,1.600 ,1.459 
176,-416.482 ,-201.957 ,1.600 ,1.457 
177,-127.238 ,-201.911 ,1.600 ,1.586 
178,138.028 ,-201.648 ,1.600 ,1.491 
179,50.463 ,-201.315 ,1.600 ,1.572 
180,-432.955 ,-200.816 ,1.600 ,1.461 
181,-301.024 ,-200.687 ,1.600 ,1.473 
182,62.068 ,-200.214 ,1.600 ,1.573 
183,-398.234 ,-200.024 ,1.600 ,1.458 
184,-485.000 ,-200.000 ,1.600 ,1.485 
185,245.000 ,-200.000 ,1.600 ,1.544 
186,-466.008 ,-199.661 ,1.600 ,1.463 
187,-251.875 ,-198.691 ,1.600 ,1.481 
188,154.167 ,-197.917 ,1.600 ,1.479 
189,-387.889 ,-197.851 ,1.600 ,1.466 
190,-176.596 ,-197.724 ,1.600 ,1.541 
191,-345.775 ,-197.468 ,1.600 ,1.468 
192,-366.528 ,-197.287 ,1.600 ,1.468 
193,127.337 ,-197.266 ,1.600 ,1.501 
194,-375.960 ,-197.235 ,1.600 ,1.468 
195,-355.588 ,-196.988 ,1.600 ,1.471 
196,-423.719 ,-196.960 ,1.600 ,1.459 
197,-144.234 ,-196.615 ,1.600 ,1.571 
198,-336.667 ,-195.852 ,1.600 ,1.476 
199,-414.479 ,-195.214 ,1.600 ,1.460 
200,-1.052 ,-195.197 ,1.600 ,1.569 
201,-324.872 ,-194.973 ,1.600 ,1.476 
202,34.152 ,-194.799 ,1.600 ,1.569 
203,-442.602 ,-194.578 ,1.600 ,1.467 
204,52.317 ,-193.705 ,1.600 ,1.569 
205,-106.504 ,-193.287 ,1.600 ,1.581 
206,136.908 ,-192.708 ,1.600 ,1.487 
207,-405.862 ,-192.616 ,1.600 ,1.468 
208,181.667 ,-191.667 ,1.600 ,1.468 
209,-286.985 ,-191.114 ,1.600 ,1.502 
210,-122.958 ,-190.972 ,1.600 ,1.576 
