x,y,z
1.306438,0.788126,1.6
1.306438,1.308814,1.6
1.306438,1.829503,1.6
1.306438,2.350191,1.6
1.306438,2.87088,1.6
1.306438,3.391568,1.6
1.306438,3.912257,1.6
1.306438,4.432945,1.6
1.808645,-4.418759,1.6
1.808645,-3.898071,1.6
1.808645,-3.377382,1.6
1.808645,-2.856694,1.6
1.808645,-2.336005,1.6
1.808645,-1.815317,1.6
1.808645,-1.294628,1.6
1.808645,-0.77394,1.6
1.808645,-0.253251,1.6
1.808645,0.267437,1.6
1.808645,0.788126,1.6
1.808645,1.308814,1.6
1.808645,1.829503,1.6
1.808645,2.350191,1.6
1.808645,2.87088,1.6
1.808645,3.391568,1.6
1.808645,3.912257,1.6
1.808645,4.432945,1.6
2.310852,-4.418759,1.6
2.310852,-3.898071,1.6
2.310852,-3.377382,1.6
2.310852,-2.856694,1.6
2.310852,-2.336005,1.6
2.310852,-1.815317,1.6
2.310852,-1.294628,1.6
2.310852,-0.77394,1.6
2.310852,-0.253251,1.6
2.310852,0.267437,1.6
2.310852,0.788126,1.6
2.310852,1.308814,1.6
2.310852,1.829503,1.6
2.310852,2.350191,1.6
2.310852,2.87088,1.6
2.310852,3.391568,1.6
2.310852,3.912257,1.6
2.310852,4.432945,1.6
2.813059,-4.418759,1.6
2.813059,-3.898071,1.6
2.813059,-3.377382,1.6
2.813059,-2.856694,1.6
2.813059,-2.336005,1.6
2.813059,-1.815317,1.6
2.813059,-1.294628,1.6
2.813059,-0.77394,1.6
2.813059,-0.253251,1.6
2.813059,0.267437,1.6
2.813059,0.788126,1.6
2.813059,1.308814,1.6
2.813059,1.829503,1.6
2.813059,2.350191,1.6
2.813059,2.87088,1.6
2.813059,3.391568,1.6
2.813059,3.912257,1.6
2.813059,4.432945,1.6
3.315265,-4.418759,1.6
3.315265,-3.898071,1.6
3.315265,-3.377382,1.6
3.315265,-2.856694,1.6
3.315265,-2.336005,1.6
3.315265,-1.815317,1.6
3.315265,-1.294628,1.6
3.315265,-0.77394,1.6
3.315265,-0.253251,1.6
3.315265,0.267437,1.6
3.315265,0.788126,1.6
3.315265,1.308814,1.6
3.315265,1.829503,1.6
3.315265,2.350191,1.6
3.315265,2.87088,1.6
3.315265,3.391568,1.6
3.315265,3.912257,1.6
3.315265,4.432945,1.6
3.817472,-4.418759,1.6
3.817472,-3.898071,1.6
3.817472,-3.377382,1.6
3.817472,-2.856694,1.6
3.817472,-2.336005,1.6
3.817472,-1.815317,1.6
3.817472,-1.294628,1.6
3.817472,-0.77394,1.6
3.817472,-0.253251,1.6
3.817472,0.267437,1.6
3.817472,0.788126,1.6
3.817472,1.308814,1.6
3.817472,1.829503,1.6
3.817472,2.350191,1.6
3.817472,2.87088,1.6
3.817472,3.391568,1.6
3.817472,3.912257,1.6
3.817472,4.432945,1.6
4.319679,-4.418759,1.6
4.319679,-3.898071,1.6
4.319679,-3.377382,1.6
4.319679,-2.856694,1.6
4.319679,-2.336005,1.6
4.319679,-1.815317,1.6
4.319679,-1.294628,1.6
4.319679,-0.77394,1.6
4.319679,-0.253251,1.6
4.319679,0.267437,1.6
4.319679,0.788126,1.6
4.319679,1.308814,1.6
4.319679,1.829503,1.6
4.319679,2.350191,1.6
4.319679,2.87088,1.6
4.319679,3.391568,1.6
4.319679,3.912257,1.6
4.319679,4.432945,1.6
